발전소명,호기,위도,경도
감우리 태양광,1,36.95956,127.6493
무릉리 태양광,1,33.27345,126.2287
백사면A 태양광,1,37.33868,127.4764
백사면B 태양광,1,37.33354,127.4804
부산 신항 태양광,1,35.08466,128.8265
부산역 선상주차장 태양광,1,35.11583,129.0429
세화리 태양광,1,33.32795,126.7865
송당리 태양광,1,33.44024,126.7792
신인천 수산정수장 태양광,1,37.43648,126.7295
신풍리 태양광,1,33.38072,126.8199
와산리 태양광,1,33.47526,126.6829
용수리 태양광,1,33.32039,126.192
위미2리 태양광,1,33.30778,126.6579
하동 공설운동장 태양광,1,35.06309,127.7782
하동 변전소 태양광,1,35.07782,127.7782
하동 보건소 태양광,1,35.06695,127.7526
하동 정수장 태양광,1,35.07919,127.7429
하동 하수처리장 태양광,1,35.05885,127.7799
하동태양광#4,1,34.95885,127.8385
하동태양광#5,1,34.96059,127.8394
행원소수력,1,33.47526,126.6829
화촌주민참여형 태양광,1,35.0398,127.8766
